Player,Pos,TakeOns_Att,TakeOns_Succ,Carries_PrgC,Carries_into_finalthird,Carries_into_PA,SCA,SCA90,_TakeOn
"Samuel Bamba (Dortmund)",FW,9,14,26,24,18,14,77,14
"Lameck Banda (Lecce)",FW,93,92,89,81,92,80,82,80
"Mamady Bangré (Toulouse)","FW,MF",23,14,38,32,27,27,96,27
"Léo Baptistão (Almería)",FW,58,58,63,66,59,66,24,66
"Antonín Barák (Fiorentina)","MF,FW",38,33,52,69,18,56,66,56
"Valentín Barco (Brighton)","DF,FW",35,37,34,28,0,29,37,29
"Bradley Barcola (Lyon)",FW,45,47,40,35,59,23,18,23
"Bradley Barcola (Paris S-G)","FW,MF",92,94,94,89,97,84,88,84
"Kike Barja (Osasuna)","FW,MF",50,56,52,41,45,36,70,36
"Aymen Barkok (Mainz 05)","MF,FW",30,21,46,28,45,40,83,40
"Harvey Barnes (Newcastle Utd)","FW,MF",55,44,77,66,84,55,63,55
"Ander Barrenetxea (Real Sociedad)","FW,MF",89,90,84,81,83,67,45,67
"Christoph Baumgartner (RB Leipzig)","MF,FW",67,72,72,78,71,70,69,70
"Bebé (Rayo Vallecano)","MF,FW",50,58,52,47,45,29,67,29
"Ihlas Bebou (Hoffenheim)","FW,DF",83,82,76,82,83,72,46,72
"Mohamed Bechikh (Strasbourg)","FW,MF",14,0,0,0,0,0,0,0
"Adrian Beck (Heidenheim)","MF,FW",65,76,52,52,0,55,47,55
"Sheraldo Becker (Real Sociedad)","FW,MF",30,33,65,44,59,44,32,44
"Sheraldo Becker (Union Berlin)","FW,MF",40,41,69,61,55,53,78,53
"Chris Bedia (Union Berlin)","FW,MF",14,21,10,12,18,20,41,20
"Donny van de Beek (Eint Frankfurt)","MF,FW",26,28,16,18,0,27,20,27
"Yanis Begraoui (Toulouse)","FW,MF",32,44,36,35,27,27,29,27
"Kevin Behrens (Wolfsburg)",FW,30,28,31,24,34,43,46,43
"Kevin Behrens (Union Berlin)",FW,28,33,40,53,39,61,42,61
"Maximilian Beier (Hoffenheim)","FW,MF",90,88,85,79,93,87,52,87
"Jérémie Bela (Clermont Foot)","MF,FW",28,33,46,44,0,27,59,27
"Jean-Ricner Bellegarde (Wolves)","MF,FW",70,70,67,75,45,56,51,56
"Jean-Ricner Bellegarde (Strasbourg)","MF,FW",42,47,36,38,18,25,26,25
"Andrea Belotti (Fiorentina)",FW,26,14,38,28,39,51,37,51
"Andrea Belotti (Roma)",FW,42,44,48,44,50,49,59,49
"Lucas Beltrán (Fiorentina)","FW,MF",61,58,43,47,50,77,57,77
"Eliesse Ben Seghir (Monaco)","MF,FW",56,41,63,64,50,46,83,46
"Wissam Ben Yedder (Monaco)",FW,75,70,81,78,84,86,53,86
"Saïd Benrahma (West Ham)","FW,MF",68,63,65,61,75,52,75,52
"Saïd Benrahma (Lyon)","FW,MF",66,72,78,57,75,64,86,64
"Domenico Berardi (Sassuolo)",FW,58,56,74,74,73,81,80,81
"Álex Berenguer (Athletic Club)",FW,82,76,85,81,84,79,67,79
"Jóhann Berg Guðmundsson (Burnley)","MF,FW",43,37,45,53,27,74,75,74
"Medon Berisha (Lecce)","FW,MF",23,14,20,18,0,29,69,29
"Mergim Berisha (Hoffenheim)",FW,14,21,16,12,18,20,41,20
"Mergim Berisha (Augsburg)",FW,14,0,20,12,18,23,73,23
"Isaac Bernal (Sevilla)",FW,61,61,68,52,73,55,42,55
"Matúš Bero (Bochum)","MF,FW",47,33,43,57,27,55,16,55
