Rank,Player_ID,Player,Nation,Pos,Squad,Comp,Age,Born,90s,TakeOns_Att,TakeOns_Succ,Carries_PrgC,Carries_into_finalthird,Carries_into_PA
108,263,Jean-Ricner Bellegarde (Wolves),FRA,"MF,FW",Wolves,Premier League,25,1998,10.6,70,70,67,75,45
109,264,Jean-Ricner Bellegarde (Strasbourg),FRA,"MF,FW",Strasbourg,Ligue 1,25,1998,3,42,47,36,38,18
110,268,Andrea Belotti (Fiorentina),ITA,FW,Fiorentina,Serie A,29,1993,10.5,26,14,38,28,39
111,269,Andrea Belotti (Roma),ITA,FW,Roma,Serie A,29,1993,7.5,42,44,48,44,50
112,271,Lucas Beltrán (Fiorentina),ARG,"FW,MF",Fiorentina,Serie A,22,2001,18.8,61,58,43,47,50
113,272,Eliesse Ben Seghir (Monaco),MAR,"MF,FW",Monaco,Ligue 1,18,2005,4.8,56,41,63,64,50
114,274,Wissam Ben Yedder (Monaco),FRA,FW,Monaco,Ligue 1,32,1990,25.7,75,70,81,78,84
115,277,Saïd Benrahma (West Ham),ALG,"FW,MF",West Ham,Premier League,27,1995,6.9,68,63,65,61,75
116,278,Saïd Benrahma (Lyon),ALG,"FW,MF",Lyon,Ligue 1,27,1995,8.6,66,72,78,57,75
117,284,Domenico Berardi (Sassuolo),ITA,FW,Sassuolo,Serie A,28,1994,15.9,58,56,74,74,73
118,286,Álex Berenguer (Athletic Club),ESP,FW,Athletic Club,La Liga,28,1995,17.7,82,76,85,81,84
119,288,Jóhann Berg Guðmundsson (Burnley),ISL,"MF,FW",Burnley,Premier League,32,1990,13.2,43,37,45,53,27
120,291,Medon Berisha (Lecce),ALB,"FW,MF",Lecce,Serie A,19,2003,2.3,23,14,20,18,0
121,292,Mergim Berisha (Hoffenheim),GER,FW,Hoffenheim,Bundesliga,25,1998,1.6,14,21,16,12,18
122,293,Mergim Berisha (Augsburg),GER,FW,Augsburg,Bundesliga,25,1998,1.4,14,0,20,12,18
123,294,Isaac Bernal (Sevilla),ESP,FW,Sevilla,La Liga,23,2000,11.5,61,61,68,52,73
124,297,Matúš Bero (Bochum),SVK,"MF,FW",Bochum,Bundesliga,27,1995,18.5,47,33,43,57,27
125,300,Jan-Niklas Beste (Heidenheim),GER,"FW,MF",Heidenheim,Bundesliga,24,1999,28.9,89,86,91,93,69
126,301,Beto (Everton),GNB,FW,Everton,Premier League,25,1998,10.6,66,65,46,44,71
127,302,Beto (Udinese),GNB,FW,Udinese,Serie A,25,1998,0.8,18,21,0,0,0
