Rank,Player_ID,Player,Nation,Pos,Squad,Comp,Age,Born,90s,TakeOns_Att,TakeOns_Succ,Carries_PrgC,Carries_into_finalthird,Carries_into_PA
272,698,Amad Diallo (Manchester Utd),CIV,"FW,MF",Manchester Utd,Premier League,21,2002,4.3,52,56,40,52,39
273,700,Assane Diao (Betis),ESP,FW,Betis,La Liga,17,2005,11.6,80,72,70,73,73
274,701,Habib Diarra (Strasbourg),SEN,"MF,FW",Strasbourg,Ligue 1,19,2004,25.6,82,88,85,95,64
275,704,Krépin Diatta (Monaco),SEN,"DF,FW",Monaco,Ligue 1,24,1999,13.4,74,84,79,77,64
276,707,Brahim Díaz (Real Madrid),MAR,"FW,MF",Real Madrid,La Liga,23,1999,17.2,94,97,90,94,91
277,708,Luis Díaz (Liverpool),COL,FW,Liverpool,Premier League,26,1997,29.2,98,98,98,98,99
278,710,Famara Diedhiou (Granada),SEN,"FW,MF",Granada,La Liga,30,1992,1,23,33,26,24,27
279,711,Justin Diehl (Köln),GER,"FW,MF",Köln,Bundesliga,18,2004,1.9,42,47,28,18,45
280,712,Bamba Dieng (Lorient),SEN,FW,Lorient,Ligue 1,23,2000,6.1,35,28,26,18,34
281,716,Florian Dietz (Köln),GER,"FW,MF",Köln,Bundesliga,24,1998,0.8,0,0,0,12,0
282,721,Eren Dinkçi (Heidenheim),GER,"FW,MF",Heidenheim,Bundesliga,21,2001,29.4,92,92,92,93,83
283,725,Sofiane Diop (Nice),FRA,FW,Nice,Ligue 1,23,2000,5.5,50,41,57,62,50
284,735,Ben Doak (Liverpool),SCO,FW,Liverpool,Premier League,17,2005,0.2,0,0,0,0,0
285,743,Jeremy Doku (Manchester City),BEL,"FW,MF",Manchester City,Premier League,21,2002,17.7,99,99,100,94,100
286,744,Jeremy Doku (Rennes),BEL,FW,Rennes,Ligue 1,21,2002,1.2,32,51,40,35,55
287,747,Mario Dominguez (Valencia),ESP,FW,Valencia,La Liga,19,2004,0.3,0,0,0,0,0
288,748,Nicolás Domínguez (Nott'ham Forest),ARG,"MF,FW",Nott'ham Forest,Premier League,25,1998,16.6,44,44,46,53,27
289,751,Jamie Donley (Tottenham),ENG,FW,Tottenham,Premier League,18,2005,0,9,0,0,0,0
290,757,Abdoulaye Doucouré (Everton),MLI,"FW,MF",Everton,Premier League,30,1993,29.2,76,81,83,83,78
291,759,Siriné Doucouré (Lorient),MLI,FW,Lorient,Ligue 1,21,2002,4.7,55,61,46,38,69
292,760,Désiré Doué (Rennes),FRA,"MF,FW",Rennes,Ligue 1,18,2005,18.1,94,98,91,97,90
293,766,Anastasios Douvikas (Celta Vigo),GRE,FW,Celta Vigo,La Liga,23,1999,10.1,50,51,38,35,50
294,767,Artem Dovbyk (Girona),UKR,FW,Girona,La Liga,26,1997,28.7,55,70,54,38,77
295,768,Nikola Dovedan (Heidenheim),AUT,"MF,FW",Heidenheim,Bundesliga,29,1994,7.3,52,47,43,49,39
296,769,Damion Downs (Köln),GER,"FW,MF",Köln,Bundesliga,19,2004,2,21,14,10,12,18
297,773,Dion Drena Beljo (Augsburg),CRO,"FW,MF",Augsburg,Bundesliga,21,2002,6.5,53,56,50,53,50
298,778,Marvin Ducksch (Werder Bremen),GER,FW,Werder Bremen,Bundesliga,29,1994,30,58,58,52,65,55
299,784,Jhon Durán (Aston Villa),COL,"FW,MF",Aston Villa,Premier League,19,2003,5.3,23,21,36,32,45
300,785,Julien Duranville (Dortmund),BEL,"FW,MF",Dortmund,Bundesliga,17,2006,0.1,23,28,16,12,18
301,786,Hugo Duro (Valencia),ESP,FW,Valencia,La Liga,23,1999,33.1,71,61,64,65,71
302,788,Paulo Dybala (Roma),ARG,"FW,MF",Roma,Serie A,29,1993,21.8,88,83,91,94,90
303,789,Aron Dønnum (Toulouse),NOR,"FW,MF",Toulouse,Ligue 1,25,1998,17.7,87,87,88,83,82
304,790,George Earthy (West Ham),ENG,FW,West Ham,Premier League,18,2004,0.4,0,0,0,12,0
305,797,Odsonne Édouard (Crystal Palace),FRA,"FW,MF",Crystal Palace,Premier League,25,1998,17.3,78,74,70,62,87
306,803,Hugo Ekitike (Paris S-G),FRA,FW,Paris S-G,Ligue 1,21,2002,0.1,0,0,0,0,18
307,804,Hugo Ekitike (Eint Frankfurt),FRA,FW,Eint Frankfurt,Bundesliga,21,2002,8,70,72,50,44,62
308,805,Emmanuel Ekong (Empoli),SWE,FW,Empoli,Serie A,21,2002,0.1,18,0,0,0,0
309,806,Caleb Ekuban (Genoa),GHA,FW,Genoa,Serie A,29,1994,12.6,50,53,46,41,62
310,807,Anthony Elanga (Nott'ham Forest),SWE,"FW,MF",Nott'ham Forest,Premier League,21,2002,27,88,83,95,92,95
311,808,Simon Elisor (Metz),FRA,FW,Metz,Ligue 1,24,1999,8.5,45,37,36,41,45
312,809,Harvey Elliott (Liverpool),ENG,"MF,FW",Liverpool,Premier League,20,2003,15,48,51,77,89,62
313,810,Elif Elmas (Napoli),MKD,"FW,MF",Napoli,Serie A,23,1999,3.8,38,41,46,53,39
314,811,Elif Elmas (RB Leipzig),MKD,"MF,FW",RB Leipzig,Bundesliga,23,1999,3,33,37,36,38,39
315,815,Adri Embarba (Almería),ESP,"FW,MF",Almería,La Liga,31,1992,27.5,96,94,94,92,85
316,816,Breel Embolo (Monaco),SUI,FW,Monaco,Ligue 1,26,1997,2,28,33,34,32,50
317,817,Emanuel Emegha (Strasbourg),NED,FW,Strasbourg,Ligue 1,20,2003,23.1,65,53,62,64,71
318,819,Youssef En-Nesyri (Sevilla),MAR,FW,Sevilla,La Liga,26,1997,28.6,67,56,52,47,67
319,820,Julio Enciso (Brighton),PAR,"MF,FW",Brighton,Premier League,19,2004,5.3,59,70,65,65,55
320,831,Oscar Estupiñan (Metz),COL,FW,Metz,Ligue 1,26,1996,2.9,14,14,26,24,0
321,833,Karl Etta (Cádiz),CMR,FW,Cádiz,La Liga,19,2004,0.2,0,0,0,0,0
322,835,Eberechi Eze (Crystal Palace),ENG,"MF,FW",Crystal Palace,Premier League,25,1998,22.8,98,98,88,94,95
323,836,Abde Ezzalzouli (Barcelona),MAR,"FW,MF",Barcelona,La Liga,21,2001,0.8,21,21,31,24,39
324,837,Abde Ezzalzouli (Betis),MAR,FW,Betis,La Liga,21,2001,9.6,78,76,84,81,92
325,838,Giovanni Fabbian (Bologna),ITA,"MF,FW",Bologna,Serie A,20,2003,11.7,53,58,40,47,45
326,841,Romain Faivre (Bournemouth),FRA,"MF,FW",Bournemouth,Premier League,25,1998,0.5,28,21,24,28,0
327,842,Romain Faivre (Lorient),FRA,"MF,FW",Lorient,Ligue 1,25,1998,16.1,92,93,88,88,67
328,843,Ilhan Fakili (Clermont Foot),FRA,"MF,FW",Clermont Foot,Ligue 1,17,2006,1,26,14,16,12,27
329,844,Radamel Falcao (Rayo Vallecano),COL,"FW,DF",Rayo Vallecano,La Liga,37,1986,4.5,30,28,31,28,45
330,849,Ansu Fati (Brighton),ESP,"MF,FW",Brighton,Premier League,20,2002,5.8,45,37,50,32,62
331,850,Ansu Fati (Barcelona),ESP,"MF,FW",Barcelona,La Liga,20,2002,0.6,18,14,28,28,27
332,851,Khalil Fayad (Montpellier),FRA,"FW,MF",Montpellier,Ligue 1,19,2004,11.4,52,53,54,56,39
333,854,Peter Federico (Valencia),DOM,"MF,FW",Valencia,La Liga,21,2002,7.2,59,61,56,41,62
334,855,Nabil Fekir (Betis),FRA,"MF,FW",Betis,La Liga,30,1993,11.7,65,76,69,75,55
335,858,João Félix (Barcelona),POR,FW,Barcelona,La Liga,23,1999,17.1,91,84,88,91,90
336,861,Evan Ferguson (Brighton),IRL,FW,Brighton,Premier League,18,2004,15.2,43,44,45,44,45
337,863,Bruno Fernandes (Manchester Utd),POR,"MF,FW",Manchester Utd,Premier League,28,1994,34.6,74,74,92,94,84
338,867,Carlos Fernández (Real Sociedad),ESP,FW,Real Sociedad,La Liga,27,1996,4.5,33,28,26,24,0
339,870,Valery Fernández (Girona),ESP,"MF,FW",Girona,La Liga,23,1999,5.6,47,44,57,47,55
340,873,Ichem Ferrah (Lille),FRA,FW,Lille,Ligue 1,17,2005,0,0,0,0,0,0
341,878,Nacho Ferri (Eint Frankfurt),ESP,"FW,MF",Eint Frankfurt,Bundesliga,18,2004,0.8,9,0,0,0,0
342,879,Rachad Fettal (Almería),MAR,FW,Almería,La Liga,18,2005,0.2,0,0,0,0,0
343,880,Seydou Fini (Genoa),ITA,"DF,FW",Genoa,Serie A,17,2006,0.4,9,0,10,18,0
344,881,Max Finkgräfe (Köln),GER,"DF,FW",Köln,Bundesliga,19,2004,19.5,81,89,81,81,67
345,887,Phil Foden (Manchester City),ENG,"FW,MF",Manchester City,Premier League,23,2000,31.7,93,94,94,98,98
346,889,Malick Fofana (Lyon),BEL,FW,Lyon,Ligue 1,18,2005,6.2,42,47,63,62,64
347,893,Michael Folorunsho (Hellas Verona),ITA,"MF,FW",Hellas Verona,Serie A,25,1998,30.9,86,78,84,85,59
348,894,Tiago Fonseca Morais (Lille),POR,FW,Lille,Ligue 1,19,2003,0.5,18,0,20,0,18
349,895,Pablo Fornals (West Ham),ESP,"MF,FW",West Ham,Premier League,27,1996,4.7,37,41,24,38,27
350,896,Pablo Fornals (Betis),ESP,"FW,MF",Betis,La Liga,27,1996,12.8,56,56,73,69,71
351,897,Emil Forsberg (RB Leipzig),SWE,"MF,FW",RB Leipzig,Bundesliga,31,1991,5.2,32,28,34,24,39
352,898,Omari Forson (Manchester Utd),ENG,FW,Manchester Utd,Premier League,19,2004,0.8,14,14,10,24,0
353,899,Philipp Förster (Bochum),GER,"MF,FW",Bochum,Bundesliga,28,1995,4.3,21,14,31,47,18
354,901,Lyle Foster (Burnley),RSA,"FW,MF",Burnley,Premier League,22,2000,21.1,70,74,83,78,93
355,904,Matheus França (Crystal Palace),BRA,"MF,FW",Crystal Palace,Premier League,19,2004,2.6,40,33,43,49,45
356,907,Nathan Fraser (Wolves),IRL,FW,Wolves,Premier League,18,2005,2.1,0,0,10,12,18
357,909,Jean Frederic N'Guessan (Metz),CIV,"MF,FW",Metz,Ligue 1,20,2003,1.2,21,28,10,18,0
358,915,Jorge de Frutos (Rayo Vallecano),ESP,"FW,MF",Rayo Vallecano,La Liga,26,1997,17.2,77,65,76,76,69
359,916,Chris Führich (Stuttgart),GER,"FW,MF",Stuttgart,Bundesliga,25,1998,28.5,99,99,99,100,98
360,917,Shiō Fukuda (Gladbach),JPN,"FW,MF",Gladbach,Bundesliga,19,2004,0.4,9,14,0,0,0
361,919,Niclas Füllkrug (Werder Bremen),GER,FW,Werder Bremen,Bundesliga,30,1993,2,9,0,16,12,0
362,920,Niclas Füllkrug (Dortmund),GER,FW,Dortmund,Bundesliga,30,1993,24.6,48,37,52,59,67
363,921,Gerardo Fusco (Salernitana),ITA,FW,Salernitana,Serie A,18,2005,0.2,9,0,0,0,0
364,925,Gianluca Gaetano (Cagliari),ITA,"FW,MF",Cagliari,Serie A,23,2000,8.3,60,53,52,56,50
365,928,Cody Gakpo (Liverpool),NED,"FW,MF",Liverpool,Premier League,24,1999,18.3,79,87,77,78,71
366,936,Kévin Gameiro (Strasbourg),FRA,"FW,MF",Strasbourg,Ligue 1,36,1987,15,38,44,63,73,64
367,938,Ignatius Ganago (Nantes),CMR,"FW,MF",Nantes,Ligue 1,24,1999,2,9,0,31,18,34
368,940,Álvaro García (Rayo Vallecano),ESP,"FW,MF",Rayo Vallecano,La Liga,30,1992,27.5,55,53,84,66,83
369,946,Francisco Jesús Crespo García (Las Palmas),ESP,FW,Las Palmas,La Liga,27,1996,5.6,65,65,52,57,39
370,947,Gonzalo García (Real Madrid),ESP,"FW,MF",Real Madrid,La Liga,19,2004,0.2,9,0,10,12,18
371,948,Jastin García (Girona),ESP,FW,Girona,La Liga,19,2004,0.4,14,14,16,0,18
372,949,Raúl García (Athletic Club),ESP,"FW,MF",Athletic Club,La Liga,37,1986,4.7,23,21,24,38,27
373,950,Rubén García (Osasuna),ESP,"FW,MF",Osasuna,La Liga,30,1993,17.2,61,72,50,74,39
374,953,Alejandro Garnacho (Manchester Utd),ARG,FW,Manchester Utd,Premier League,19,2004,28.5,97,95,100,99,100
375,958,Federico Gattoni (Sevilla),ARG,"DF,FW",Sevilla,La Liga,24,1999,0.1,0,0,0,0,0
376,959,Gavi (Barcelona),ESP,"MF,FW",Barcelona,La Liga,18,2004,10.5,50,58,63,71,34
377,961,Yann Gboho (Toulouse),FRA,"MF,FW",Toulouse,Ligue 1,22,2001,13.3,83,86,87,86,88
378,963,Gelabert (Toulouse),ESP,"MF,FW",Toulouse,Ligue 1,22,2000,8.4,59,61,46,61,67
379,967,Denis Genreau (Toulouse),AUS,"MF,FW",Toulouse,Ligue 1,24,1999,5.2,37,33,28,32,27
380,970,Farés Ghedjemis (Frosinone),FRA,"FW,MF",Frosinone,Serie A,20,2002,2,28,21,31,18,45
381,973,Morgan Gibbs-White (Nott'ham Forest),ENG,"MF,FW",Nott'ham Forest,Premier League,23,2000,35.1,95,93,91,95,75
382,975,Bryan Gil (Tottenham),ESP,"FW,MF",Tottenham,Premier League,22,2001,2.3,35,47,40,35,45
383,983,Olivier Giroud (Milan),FRA,FW,Milan,Serie A,36,1986,26.3,35,28,36,38,39
384,985,Serge Gnabry (Bayern Munich),GER,"FW,MF",Bayern Munich,Bundesliga,28,1995,4.8,37,41,60,44,69
385,989,Aleksandr Golovin (Monaco),RUS,"MF,FW",Monaco,Ligue 1,27,1996,23.9,74,80,80,88,79
386,990,André Gomes (Everton),POR,"MF,FW",Everton,Premier League,30,1993,5.6,37,28,34,38,34
387,995,Maxi Gómez (Cádiz),URU,FW,Cádiz,La Liga,26,1996,12.9,35,33,45,47,27
388,996,Moi Gómez (Osasuna),ESP,"MF,FW",Osasuna,La Liga,29,1994,22.3,59,70,72,73,34
389,997,Papu Gómez (Monza),ARG,"MF,FW",Monza,Serie A,35,1988,0.5,0,0,16,18,18
390,998,Sergio Gómez (Manchester City),ESP,"FW,MF",Manchester City,Premier League,22,2000,0.6,14,21,24,0,18
391,1006,Hugo González (Valencia),ESP,"MF,FW",Valencia,La Liga,20,2003,1,14,0,16,18,0
392,1009,Nicolás González (Fiorentina),ARG,FW,Fiorentina,Serie A,25,1998,21.3,91,88,82,90,81
393,1011,Anthony Gordon (Newcastle Utd),ENG,FW,Newcastle Utd,Premier League,22,2001,32.1,98,96,99,97,98
394,1012,Kaide Gordon (Liverpool),ENG,FW,Liverpool,Premier League,18,2004,0,0,0,0,0,0
395,1019,Amine Gouiri (Rennes),ALG,"FW,MF",Rennes,Ligue 1,23,2000,23,90,94,85,89,89
396,1021,Pablo Gozalbez (Valencia),ESP,"MF,FW",Valencia,La Liga,22,2001,1.1,18,0,0,12,18
397,1024,Samuel Grandsir (Le Havre),FRA,"MF,FW",Le Havre,Ligue 1,26,1996,6.7,53,44,59,69,59
398,1027,Ryan Gravenberch (Bayern Munich),NED,FW,Bayern Munich,Bundesliga,21,2002,0.1,9,14,0,0,0
399,1028,Adrian Grbić (Lorient),AUT,FW,Lorient,Ligue 1,26,1996,0.3,0,0,0,0,0
400,1030,Jack Grealish (Manchester City),ENG,"FW,MF",Manchester City,Premier League,27,1995,11.2,71,72,93,87,97
401,1031,Mason Greenwood (Getafe),ENG,"MF,FW",Getafe,La Liga,21,2001,29.6,98,99,98,98,99
402,1032,Michael Gregoritsch (Freiburg),AUT,FW,Freiburg,Bundesliga,29,1994,18.7,45,37,43,62,39
403,1034,Antoine Griezmann (Atlético Madrid),FRA,"FW,MF",Atlético Madrid,La Liga,32,1991,29.4,68,78,77,82,55
404,1035,Vincenzo Grifo (Freiburg),ITA,"MF,FW",Freiburg,Bundesliga,30,1993,25.8,81,79,83,80,85
405,1040,Brajan Gruda (Mainz 05),GER,"MF,FW",Mainz 05,Bundesliga,19,2004,18.2,99,98,95,92,96
406,1044,Sergi Guardiola (Cádiz),ESP,"FW,MF",Cádiz,La Liga,32,1991,5.5,40,44,38,38,27
407,1046,Gabriel Gudmundsson (Lille),SWE,"DF,FW",Lille,Ligue 1,24,1999,14.1,63,51,75,64,71
408,1047,Gonçalo Guedes (Villarreal),POR,"FW,MF",Villarreal,La Liga,26,1996,10.6,42,53,74,62,64
409,1048,Axel Gueguin (Montpellier),FRA,"DF,FW",Montpellier,Ligue 1,18,2005,1.5,14,14,16,18,18
410,1055,Evann Guessand (Nice),CIV,FW,Nice,Ligue 1,22,2001,17.3,84,80,75,76,73
411,1059,Morgan Guilavogui (Lens),GUI,"FW,MF",Lens,Ligue 1,25,1998,6.3,33,37,50,41,55
412,1063,Serhou Guirassy (Stuttgart),GUI,FW,Stuttgart,Bundesliga,27,1996,24.5,71,68,69,64,80
413,1064,Marc Guiu (Barcelona),ESP,"FW,MF",Barcelona,La Liga,17,2006,0.8,0,0,10,12,18
414,1067,Arda Güler (Real Madrid),TUR,"FW,MF",Real Madrid,La Liga,18,2005,4.2,50,56,50,35,50
415,1073,Gorka Guruzeta (Athletic Club),ESP,FW,Athletic Club,La Liga,26,1996,24.6,64,74,54,53,39
416,1076,Albert Guðmundsson (Genoa),ISL,"FW,MF",Genoa,Serie A,26,1997,33.5,93,92,92,97,78
417,1078,Emmanuel Gyasi (Empoli),GHA,"DF,FW",Empoli,Serie A,29,1994,20.9,49,28,48,56,39
418,1080,Erling Haaland (Manchester City),NOR,FW,Manchester City,Premier League,23,2000,28.4,60,58,71,53,83
419,1083,Robin Hack (Gladbach),GER,"FW,MF",Gladbach,Bundesliga,24,1998,15,82,82,80,84,81
420,1084,Antwoine Hackford (Sheffield Utd),ENG,FW,Sheffield Utd,Premier League,19,2004,0.1,9,0,0,12,0
421,1085,Munir El Haddadi (Las Palmas),MAR,FW,Las Palmas,La Liga,27,1995,27.2,82,76,63,77,59
422,1087,Ianis Hagi (Alavés),ROU,"MF,FW",Alavés,La Liga,24,1998,8.9,57,63,52,53,27
423,1093,Sébastien Haller (Dortmund),CIV,FW,Dortmund,Bundesliga,29,1994,4.4,23,33,40,28,27
424,1099,Amine Harit (Marseille),MAR,"MF,FW",Marseille,Ligue 1,26,1997,20.2,88,91,92,96,67
425,1101,Jack Harrison (Everton),ENG,"MF,FW",Everton,Premier League,26,1996,24.6,88,84,87,78,73
426,1102,Abdou Harroui (Frosinone),NED,"MF,FW",Frosinone,Serie A,25,1998,11.3,74,74,77,78,59
427,1107,Kai Havertz (Arsenal),GER,"MF,FW",Arsenal,Premier League,24,1999,29.3,72,68,83,82,84
428,1110,Hwang Hee-chan (Wolves),KOR,"FW,MF",Wolves,Premier League,27,1996,23.5,85,89,73,66,85
429,1112,Silvan Hefti (Montpellier),SUI,"DF,FW",Montpellier,Ligue 1,25,1997,7.9,33,44,46,44,18
430,1118,Luis Henrique (Marseille),BRA,"FW,DF",Marseille,Ligue 1,21,2001,8.7,55,61,67,74,62
431,1119,Luiz Henrique (Betis),BRA,FW,Betis,La Liga,22,2001,6.8,75,82,71,56,64
432,1122,Thomas Henry (Hellas Verona),FRA,FW,Hellas Verona,Serie A,28,1994,3.7,23,14,16,18,18
433,1133,Cristian Herrera (Las Palmas),ESP,"FW,MF",Las Palmas,La Liga,32,1991,1.8,14,14,16,24,0
434,1136,Patrick Herrmann (Gladbach),GER,"FW,DF",Gladbach,Bundesliga,32,1991,1,9,0,20,28,18
435,1138,Son Heung-min (Tottenham),KOR,FW,Tottenham,Premier League,31,1992,32.6,91,91,97,87,98
436,1145,Adam Hložek (Leverkusen),CZE,"MF,FW",Leverkusen,Bundesliga,21,2002,5.1,40,33,46,44,45
437,1148,Philipp Hofmann (Bochum),GER,FW,Bochum,Bundesliga,30,1993,17.5,42,51,31,35,27
438,1149,Lucas Höler (Freiburg),GER,"FW,MF",Freiburg,Bundesliga,29,1994,25.6,59,61,62,52,45
439,1152,Benedict Hollerbach (Union Berlin),GER,"FW,MF",Union Berlin,Bundesliga,22,2001,14.2,87,86,80,75,85
440,1154,Gerrit Holtmann (Darmstadt 98),PHI,"MF,FW",Darmstadt 98,Bundesliga,28,1995,4.4,42,44,45,49,59
441,1157,Franck Honorat (Gladbach),FRA,"DF,FW",Gladbach,Bundesliga,26,1996,26.1,79,76,94,94,87
442,1158,Mathias Honsak (Darmstadt 98),AUT,"FW,MF",Darmstadt 98,Bundesliga,26,1996,11.3,60,51,59,56,59
443,1159,Sydney van Hooijdonk (Bologna),NED,FW,Bologna,Serie A,23,2000,2.4,14,21,10,0,0
444,1160,Fraser Hornby (Darmstadt 98),SCO,"FW,MF",Darmstadt 98,Bundesliga,23,1999,2.4,21,14,31,24,39
445,1164,Callum Hudson-Odoi (Nott'ham Forest),ENG,"FW,MF",Nott'ham Forest,Premier League,22,2000,20.6,89,93,96,93,94
446,1172,Rasmus Højlund (Manchester Utd),DEN,FW,Manchester Utd,Premier League,20,2003,24,68,72,72,74,75
447,1175,Arijon Ibrahimović (Frosinone),GER,"FW,DF",Frosinone,Serie A,17,2005,5.3,38,33,38,38,55
448,1176,Iglesias (Getafe),ESP,"DF,FW",Getafe,La Liga,25,1998,15.7,40,41,50,49,27
449,1177,Borja Iglesias (Betis),ESP,FW,Betis,La Liga,30,1993,4.5,14,14,26,32,27
450,1178,Borja Iglesias (Leverkusen),ESP,FW,Leverkusen,Bundesliga,30,1993,2.8,9,0,20,18,34
451,1180,Jonathan Ikone (Fiorentina),FRA,FW,Fiorentina,Serie A,25,1998,18.7,75,76,81,66,93
452,1181,Chukwubuikem Ikwuemesi (Salernitana),NGA,FW,Salernitana,Serie A,21,2001,11.8,61,65,40,49,50
453,1182,Andrej Ilic (Lille),SRB,FW,Lille,Ligue 1,23,2000,0.1,0,0,0,0,0
454,1186,Joel Imasuen (Werder Bremen),USA,FW,Werder Bremen,Bundesliga,18,2004,0,0,0,0,0,0
455,1187,Ciro Immobile (Lazio),ITA,FW,Lazio,Serie A,33,1990,18.4,57,47,56,53,73
456,1189,Danny Ings (West Ham),ENG,FW,West Ham,Premier League,31,1992,4.5,38,41,31,18,34
457,1192,Alexander Isak (Newcastle Utd),SWE,FW,Newcastle Utd,Premier League,23,1999,25.1,87,92,88,78,93
458,1193,Gustav Isaksen (Lazio),DEN,FW,Lazio,Serie A,22,2001,11.9,73,65,72,66,73
459,1201,Junya Ito (Reims),JPN,"FW,MF",Reims,Ligue 1,30,1993,30.2,94,96,98,97,92
460,1204,Alex Iwobi (Fulham),NGA,"FW,MF",Fulham,Premier League,27,1996,24.4,86,90,96,98,88
461,1206,Nicolas Jackson (Chelsea),SEN,FW,Chelsea,Premier League,22,2001,31.1,93,96,89,87,91
462,1209,Lee Jae-sung (Mainz 05),KOR,"MF,FW",Mainz 05,Bundesliga,30,1992,23.5,68,65,62,61,39
463,1213,Kristijan Jakić (Eint Frankfurt),CRO,"MF,FW",Eint Frankfurt,Bundesliga,26,1997,2.2,14,0,20,28,18
464,1215,Ablie Jallow (Metz),GAM,"MF,FW",Metz,Ligue 1,24,1998,10.2,68,68,66,74,34
465,1218,Jakub Jankto (Cagliari),CZE,"MF,FW",Cagliari,Serie A,27,1996,9.7,18,14,43,47,27
466,1220,Adnan Januzaj (Sevilla),BEL,"FW,MF",Sevilla,La Liga,28,1995,2.1,35,37,10,24,0
467,1221,Nuha Jatta (RB Leipzig),GAM,FW,RB Leipzig,Bundesliga,17,2006,0,0,0,0,0,0
468,1223,Luis Javier Suárez (Almería),COL,FW,Almería,La Liga,25,1997,10.2,52,58,67,52,75
469,1226,Daniel Jebbison (Sheffield Utd),ENG,FW,Sheffield Utd,Premier League,19,2003,0.2,0,0,0,0,0
470,1227,Jeffinho (Lyon),BRA,"FW,MF",Lyon,Ligue 1,23,1999,3.4,68,63,48,53,45
471,1228,Fredrik Jensen (Augsburg),FIN,"MF,FW",Augsburg,Bundesliga,25,1997,14.9,56,37,59,44,50
472,1231,Gabriel Jesus (Arsenal),BRA,FW,Arsenal,Premier League,26,1997,16.4,88,89,74,66,87
473,1234,Raúl Jiménez (Fulham),MEX,FW,Fulham,Premier League,32,1991,15.5,53,53,40,56,45
474,1235,João Pedro (Brighton),BRA,"FW,MF",Brighton,Premier League,21,2001,22.7,94,93,92,86,96
475,1236,Joelinton (Newcastle Utd),BRA,"MF,FW",Newcastle Utd,Premier League,26,1996,14.2,66,70,66,71,50
476,1238,Ben Johnson (West Ham),ENG,"DF,FW",West Ham,Premier League,23,2000,6,55,56,52,49,18
477,1239,Brennan Johnson (Tottenham),WAL,FW,Tottenham,Premier League,22,2001,23.2,86,81,94,81,96
478,1240,Brennan Johnson (Nott'ham Forest),WAL,"FW,MF",Nott'ham Forest,Premier League,22,2001,2.6,28,21,34,28,34
479,1247,Jeremy Jorge (Getafe),ESP,FW,Getafe,La Liga,20,2003,0,0,0,0,0,0
480,1248,Kaio Jorge (Frosinone),BRA,FW,Frosinone,Serie A,21,2002,9,45,37,28,35,39
481,1250,Willian José (Betis),BRA,FW,Betis,La Liga,31,1991,21.9,37,41,34,41,27
482,1251,Joselu (Real Madrid),ESP,FW,Real Madrid,La Liga,33,1990,18.7,40,41,48,41,69
483,1252,Diogo Jota (Liverpool),POR,FW,Liverpool,Premier League,26,1996,12.7,71,65,83,76,84
484,1253,Antoine Joujou (Le Havre),FRA,"FW,MF",Le Havre,Ligue 1,20,2003,8.7,79,74,71,66,77
485,1254,Luka Jović (Milan),SRB,FW,Milan,Serie A,25,1997,9.7,38,44,28,38,0
486,1256,Juanmi (Cádiz),ESP,FW,Cádiz,La Liga,30,1993,9.7,52,51,31,41,45
487,1261,Eli Junior Kroupi (Lorient),FRA,"FW,MF",Lorient,Ligue 1,17,2006,12,48,58,38,53,45
488,1264,Vinicius Júnior (Real Madrid),BRA,FW,Real Madrid,La Liga,23,2000,20.7,99,98,98,97,100
489,1267,Julian Justvan (Hoffenheim),GER,"FW,MF",Hoffenheim,Bundesliga,25,1998,0.5,0,0,34,28,18
490,1268,Julian Justvan (Darmstadt 98),GER,"MF,FW",Darmstadt 98,Bundesliga,25,1998,11.4,67,68,57,64,45
491,1272,Sory Kaba (Las Palmas),GUI,FW,Las Palmas,La Liga,28,1995,8,50,56,31,38,34
492,1276,Abdoul Kader Bamba (Nantes),FRA,"FW,MF",Nantes,Ligue 1,29,1994,6.8,61,53,76,73,71
493,1278,Pavel Kadeřábek (Hoffenheim),CZE,"DF,FW",Hoffenheim,Bundesliga,31,1992,26.8,42,28,74,71,62
494,1279,Tino Kadewere (Lyon),ZIM,"FW,MF",Lyon,Ligue 1,27,1996,3.3,23,28,24,18,34
495,1280,Tino Kadewere (Nantes),ZIM,"FW,MF",Nantes,Ligue 1,27,1996,8.7,53,51,48,32,50
496,1282,Florian Kainz (Köln),AUT,"MF,FW",Köln,Bundesliga,30,1992,24.4,72,79,75,84,59
497,1283,Sasa Kalajdzic (Wolves),AUT,FW,Wolves,Premier League,26,1997,1.8,9,14,10,12,0
498,1284,Sasa Kalajdzic (Eint Frankfurt),AUT,FW,Eint Frankfurt,Bundesliga,26,1997,3.6,18,14,10,24,0
499,1285,Arnaud Kalimuendo (Rennes),FRA,FW,Rennes,Ligue 1,21,2002,23.8,75,70,64,62,71
500,1286,Yayah Kallon (Hellas Verona),SLE,FW,Hellas Verona,Serie A,22,2001,0,0,0,0,0,0
501,1290,Waren Kamanzi (Toulouse),NOR,"DF,FW",Toulouse,Ligue 1,22,2000,13.2,30,21,71,64,59
502,1294,Jakub Kamiński (Wolfsburg),POL,"FW,MF",Wolfsburg,Bundesliga,21,2002,5.3,37,14,45,32,62
503,1297,Harry Kane (Bayern Munich),ENG,FW,Bayern Munich,Bundesliga,30,1993,31.5,81,80,72,73,73
504,1298,Lee Kang-in (Paris S-G),KOR,"FW,MF",Paris S-G,Ligue 1,22,2001,16.3,77,81,80,89,78
