Rank,Player_ID,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Minutes,90s,Goals,Assists,G+A,G-PK,PK,PK_Att,Y_Card,R_Card,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgPR,Gls_p90,Ast_p90,G+A_p90,G-PK_p90,G+A-PK_p90,xG_p90,xAG_p90,xG+xAG_p90,npxG_p90,npxG+xAG_p90
1,1,Max Aarons,ENG,DF,Bournemouth,Premier League,23,2000,20,13,1237,13.7,0,1,1,0,0,0,1,0,0,0,0.8,0.9,22,43,26,0,0.07,0.07,0,0.07,0,0.06,0.06,0,0.06
2,2,Brenden Aaronson,USA,"MF,FW",Union Berlin,Bundesliga,22,2000,30,14,1267,14.1,2,2,4,2,0,0,3,1,2,2,1.9,3.8,37,56,91,0.14,0.14,0.28,0.14,0.28,0.14,0.13,0.27,0.14,0.27
3,3,Paxten Aaronson,USA,MF,Eint Frankfurt,Bundesliga,19,2003,7,1,101,1.1,0,1,1,0,0,0,0,0,0.1,0.1,0.1,0.2,2,5,7,0,0.89,0.89,0,0.89,0.11,0.07,0.19,0.11,0.19
4,4,Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,17,2006,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,35,1987,31,31,2781,30.9,4,0,4,3,1,1,5,0,3.4,2.6,0.3,2.9,36,137,9,0.13,0,0.13,0.1,0.1,0.11,0.01,0.12,0.09,0.09
6,6,Salis Abdul Samed,GHA,MF,Lens,Ligue 1,23,2000,27,17,1519,16.9,0,0,0,0,0,0,2,0,0.8,0.8,0.5,1.3,9,78,20,0,0,0,0,0,0.05,0.03,0.08,0.05,0.08
7,7,Nabil Aberdin,FRA,DF,Getafe,La Liga,20,2002,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
8,8,Laurent Abergel,FRA,MF,Lorient,Ligue 1,30,1993,33,32,2860,31.8,2,1,3,2,0,0,4,0,1.1,1.1,2.2,3.3,38,194,51,0.06,0.03,0.09,0.06,0.09,0.04,0.07,0.1,0.04,0.1
9,9,Matthis Abline,FRA,FW,Nantes,Ligue 1,20,2003,22,12,1044,11.6,5,0,5,5,0,0,1,0,3.8,3.8,2,5.8,28,20,87,0.43,0,0.43,0.43,0.43,0.33,0.17,0.5,0.33,0.5
10,10,Abner,BRA,DF,Betis,La Liga,23,2000,23,15,1400,15.6,0,1,1,0,0,0,3,0,0.1,0.1,1,1.1,14,33,58,0,0.06,0.06,0,0.06,0.01,0.06,0.07,0.01,0.07
11,11,Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,Ligue 1,23,2000,13,9,754,8.4,3,0,3,2,1,1,2,0,2.8,2,0.2,2.2,23,20,75,0.36,0,0.36,0.24,0.24,0.33,0.02,0.36,0.24,0.26
12,12,Abdel Abqar,MAR,DF,Alavés,La Liga,24,1999,27,27,2312,25.7,0,0,0,0,0,0,10,0,0.5,0.5,0.2,0.6,7,49,1,0,0,0,0,0,0.02,0.01,0.02,0.02,0.02
13,13,Tammy Abraham,ENG,FW,Roma,Serie A,25,1997,8,2,242,2.7,1,0,1,1,0,0,1,0,0.6,0.6,0.1,0.7,6,4,15,0.37,0,0.37,0.37,0.37,0.22,0.05,0.27,0.22,0.27
14,14,Francesco Acerbi,ITA,DF,Inter,Serie A,35,1988,29,26,2388,26.5,3,1,4,3,0,0,1,0,1.6,1.6,1.8,3.4,21,87,24,0.11,0.04,0.15,0.11,0.15,0.06,0.07,0.13,0.06,0.13
15,15,Joshua Acheampong,ENG,DF,Chelsea,Premier League,17,2006,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,Marcos Acuña,ARG,DF,Sevilla,La Liga,31,1991,21,18,1292,14.4,1,2,3,1,0,0,7,0,0.3,0.3,1.5,1.8,23,59,42,0.07,0.14,0.21,0.07,0.21,0.02,0.11,0.13,0.02,0.13
17,17,Bénie Adama Traore,CIV,"FW,MF",Sheffield Utd,Premier League,20,2002,8,3,387,4.3,0,0,0,0,0,0,0,0,0.3,0.3,0.5,0.8,7,9,14,0,0,0,0,0,0.06,0.13,0.19,0.06,0.19
18,18,Bénie Adama Traore,CIV,"FW,MF",Nantes,Ligue 1,20,2002,14,4,504,5.6,0,1,1,0,0,0,1,1,0.7,0.7,0.9,1.6,23,15,45,0,0.18,0.18,0,0.18,0.13,0.16,0.29,0.13,0.29
19,19,Akor Adams,NGA,FW,Montpellier,Ligue 1,23,2000,32,27,2252,25,8,1,9,8,0,0,2,0,12.4,12.4,1.9,14.3,40,17,127,0.32,0.04,0.36,0.32,0.36,0.5,0.07,0.57,0.5,0.57
20,20,Tyler Adams,USA,MF,Bournemouth,Premier League,24,1999,3,1,121,1.3,0,0,0,0,0,0,0,0,0,0,0.1,0.1,4,5,1,0,0,0,0,0,0,0.06,0.06,0,0.06
21,21,Junior Adamu,AUT,"FW,MF",Freiburg,Bundesliga,22,2001,15,0,105,1.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,1,5,0,0,0,0,0,0.05,0.1,0.16,0.05,0.16
22,22,Sargis Adamyan,ARM,"FW,MF",Köln,Bundesliga,30,1993,20,8,801,8.9,1,2,3,1,0,0,2,0,4.1,4.1,2,6.1,15,18,42,0.11,0.22,0.34,0.11,0.34,0.46,0.23,0.69,0.46,0.69
23,23,Tosin Adarabioyo,ENG,DF,Fulham,Premier League,25,1997,20,18,1617,18,2,0,2,2,0,0,2,0,0.7,0.7,0.1,0.8,10,62,5,0.11,0,0.11,0.11,0.11,0.04,0.01,0.05,0.04,0.05
24,24,Elijah Adebayo,ENG,FW,Luton Town,Premier League,25,1998,27,16,1419,15.8,10,0,10,10,0,0,1,0,5.9,5.9,0.7,6.6,16,23,110,0.63,0,0.63,0.63,0.63,0.37,0.04,0.42,0.37,0.42
