Rank,Player_ID,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Live_Touches,TakeOns_Att,TakeOns_Succ,TakeOns_Succ%,Tkld_TakeOns ,Tkld_TakeOns%,Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_into_finalthird,Carries_into_PA,Miscontrolled,Dispossessed,Passes_received,Prog_passes_received
33,33,Emmanuel Agbadou (Reims),CIV,DF,Reims,Ligue 1,26,1997,28.8,97,93,93,98,60,71,97,75,76,52,78,72,98,100,99,83,77,49,71,85,95,48
34,34,Julen Agirrezabala (Athletic Club),ESP,GK,Athletic Club,La Liga,22,2000,2.6,20,79,47,0,0,0,20,0,0,0,0,0,20,21,24,0,0,0,0,0,16,0
35,35,Lucien Agoume (Inter),FRA,MF,Inter,Serie A,21,2002,0.1,3,0,3,8,9,0,3,16,0,0,23,95,2,3,4,0,18,0,0,0,4,0
36,36,Lucien Agoume (Sevilla),FRA,MF,Sevilla,La Liga,21,2002,8.6,41,43,48,51,45,45,41,42,55,93,23,10,39,40,42,37,29,49,28,40,41,37
37,37,Felix Agu (Werder Bremen),GER,"DF,MF",Werder Bremen,Bundesliga,23,1999,17.9,63,72,73,63,70,63,63,79,75,32,80,60,59,57,61,76,62,76,80,60,59,81
38,38,Nayef Aguerd (West Ham),MAR,DF,West Ham,Premier League,27,1996,20.6,82,90,91,81,36,59,82,34,37,77,33,39,84,80,84,44,44,0,44,28,83,25
39,39,Ruben Aguilar (Lens),FRA,DF,Lens,Ligue 1,30,1993,21.4,86,73,75,85,93,76,86,63,51,15,71,84,91,89,84,79,86,49,79,60,85,93
40,40,Brandon Aguilera (Nott'ham Forest),CRC,FW,Nott'ham Forest,Premier League,20,2003,0.1,6,10,7,8,15,0,6,0,0,0,0,0,4,4,6,0,18,0,0,0,5,15
41,41,Naouirou Ahamada (Crystal Palace),FRA,"MF,FW",Crystal Palace,Premier League,21,2002,3.9,31,27,32,37,43,36,31,52,55,68,50,37,32,36,38,61,44,64,39,63,32,48
42,42,Anel Ahmedhodžić (Sheffield Utd),BIH,DF,Sheffield Utd,Premier League,24,1999,29.4,81,92,92,74,49,72,81,64,67,66,63,46,70,73,77,54,60,58,53,63,72,49
43,43,Joseph Aidoo (Celta Vigo),GHA,DF,Celta Vigo,La Liga,27,1995,4.5,31,59,53,35,16,21,31,23,30,93,0,0,30,28,30,23,0,0,13,28,29,0
44,44,Ola Aina (Nott'ham Forest),NGA,DF,Nott'ham Forest,Premier League,26,1996,18.8,69,72,76,70,70,47,69,86,91,77,75,23,62,68,75,89,80,85,71,60,62,61
45,45,Rayan Aït-Nouri (Wolves),ALG,"DF,MF",Wolves,Premier League,22,2001,25.9,86,70,80,85,89,82,86,98,99,69,95,30,85,87,86,93,92,79,91,99,86,84
46,46,Tosin Aiyegun (Lorient),BEN,"MF,FW",Lorient,Ligue 1,25,1998,10,34,34,35,37,53,59,34,70,70,48,73,61,40,47,45,58,49,73,62,68,37,68
47,47,Kristoffer Ajer (Brentford),NOR,DF,Brentford,Premier League,25,1998,20.4,70,84,81,70,59,85,70,51,64,92,33,11,60,58,67,65,51,68,58,48,64,57
