Rank,Player_ID,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Live_Touches,TakeOns_Att,TakeOns_Succ,TakeOns_Succ%,Tkld_TakeOns ,Tkld_TakeOns%,Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_into_finalthird,Carries_into_PA,Miscontrolled,Dispossessed,Passes_received,Prog_passes_received
808,808,Simon Elisor (Metz),FRA,FW,Metz,Ligue 1,24,1999,8.5,32,33,25,37,52,72,32,60,47,13,71,89,34,37,24,42,44,68,76,85,35,64
809,809,Harvey Elliott (Liverpool),ENG,"MF,FW",Liverpool,Premier League,20,2003,15,74,31,45,76,92,89,74,63,62,45,66,61,78,78,74,84,93,81,56,58,81,88
810,810,Elif Elmas (Napoli),MKD,"FW,MF",Napoli,Serie A,23,1999,3.8,31,29,25,35,51,45,31,52,51,48,57,75,31,37,43,52,56,64,42,52,33,53
811,811,Elif Elmas (RB Leipzig),MKD,"MF,FW",RB Leipzig,Bundesliga,23,1999,3,25,10,21,31,40,49,25,46,47,54,40,22,25,25,25,42,42,64,34,48,26,47
812,812,Mohamed Elneny (Arsenal),EGY,MF,Arsenal,Premier League,31,1992,0.3,13,10,14,22,16,16,13,0,0,0,0,0,13,14,13,17,0,0,13,0,15,0
813,813,Aritz Elustondo (Real Sociedad),ESP,DF,Real Sociedad,La Liga,29,1994,9,46,66,66,54,33,49,46,27,30,83,23,25,44,43,44,30,36,36,24,35,45,21
814,814,Nico Elvedi (Gladbach),SUI,DF,Gladbach,Bundesliga,26,1996,27.6,94,95,96,91,44,65,94,44,51,83,23,10,94,94,96,80,67,0,36,40,93,32
815,815,Adri Embarba (Almería),ESP,"FW,MF",Almería,La Liga,31,1992,27.5,80,45,62,74,96,87,80,98,97,30,99,77,79,87,85,97,94,94,98,93,80,94
816,816,Breel Embolo (Monaco),SUI,FW,Monaco,Ligue 1,26,1997,2,18,19,13,22,32,54,18,40,43,73,40,46,22,23,21,40,36,73,39,52,20,48
817,817,Emanuel Emegha (Strasbourg),NED,FW,Strasbourg,Ligue 1,20,2003,23.1,44,54,31,50,70,93,44,78,64,15,87,88,51,53,42,68,67,87,89,90,48,87
818,818,Emerson (Tottenham),BRA,DF,Tottenham,Premier League,24,1999,12.9,76,83,82,74,73,45,76,64,64,51,54,20,76,64,63,63,67,49,56,66,80,59
819,819,Youssef En-Nesyri (Sevilla),MAR,FW,Sevilla,La Liga,26,1997,28.6,47,57,41,51,72,96,47,80,67,15,89,91,43,40,36,58,49,85,95,76,49,78
820,820,Julio Enciso (Brighton),PAR,"MF,FW",Brighton,Premier League,19,2004,5.3,32,24,23,35,54,59,32,73,80,76,57,16,37,41,50,72,68,76,56,55,35,55
821,821,Wataru Endo (Liverpool),JPN,MF,Liverpool,Premier League,30,1993,19.1,86,66,72,94,69,39,86,57,64,80,50,23,86,73,69,44,70,49,74,83,89,49
822,822,Arne Engels (Augsburg),BEL,"MF,DF",Augsburg,Bundesliga,19,2003,15.6,56,52,55,60,73,54,56,49,51,69,50,53,51,49,48,66,65,64,56,52,52,72
823,823,Christian Eriksen (Manchester Utd),DEN,MF,Manchester Utd,Premier League,31,1992,12.7,63,53,58,73,72,45,63,37,37,54,40,61,64,58,60,62,70,49,39,70,68,51
824,824,Martin Erlic (Sassuolo),CRO,DF,Sassuolo,Serie A,25,1998,29.1,85,91,91,86,36,50,85,37,43,83,33,25,76,74,80,61,44,36,44,0,80,40
825,825,Gonzalo Escalante (Cádiz),ARG,MF,Cádiz,La Liga,30,1993,18.9,63,67,65,76,56,56,63,40,37,39,45,80,54,45,44,30,47,0,60,66,60,43
826,826,Aarón Escandell (Las Palmas),ESP,GK,Las Palmas,La Liga,27,1995,1.7,19,75,44,3,0,0,19,0,0,0,0,0,17,14,18,0,0,0,0,0,16,0
827,827,Alfonso Espino (Rayo Vallecano),URU,DF,Rayo Vallecano,La Liga,31,1992,27.9,91,78,88,89,84,67,91,88,88,52,89,61,78,73,76,83,77,83,87,78,83,81
828,828,Bernardo Espinosa (Girona),COL,DF,Girona,La Liga,34,1989,0,6,21,13,7,0,0,6,0,0,0,0,0,5,4,4,0,0,0,0,0,5,0
829,829,Maxime Estève (Burnley),FRA,DF,Burnley,Premier League,21,2002,14.5,67,88,83,70,36,36,67,27,21,18,0,0,64,63,72,54,65,49,31,35,66,25
830,830,Maxime Estève (Montpellier),FRA,DF,Montpellier,Ligue 1,21,2002,11.1,44,77,69,48,27,39,44,34,30,32,40,84,44,43,45,40,32,36,31,21,40,38
831,831,Oscar Estupiñan (Metz),COL,FW,Metz,Ligue 1,26,1996,2.9,19,0,11,27,28,39,19,23,21,54,23,61,19,20,18,32,29,0,24,40,20,35
832,832,Pervis Estupiñán (Brighton),ECU,DF,Brighton,Premier League,25,1998,13.8,73,70,69,76,79,76,73,67,62,31,63,38,76,67,75,86,81,87,65,48,75,80
833,833,Karl Etta (Cádiz),CMR,FW,Cádiz,La Liga,19,2004,0.2,2,0,0,7,9,0,2,0,0,0,0,0,2,2,0,0,0,0,13,0,2,15
834,834,Jonny Evans (Manchester Utd),NIR,DF,Manchester Utd,Premier League,35,1988,15.5,68,90,86,67,29,36,68,40,43,73,33,20,68,63,67,37,36,0,31,35,68,15
835,835,Eberechi Eze (Crystal Palace),ENG,"MF,FW",Crystal Palace,Premier League,25,1998,22.8,78,36,51,75,97,95,78,99,99,53,99,54,81,86,80,93,96,98,98,98,83,91
836,836,Abde Ezzalzouli (Barcelona),MAR,"FW,MF",Barcelona,La Liga,21,2001,0.8,14,0,6,15,32,34,14,31,30,54,33,61,16,19,21,37,29,64,28,28,16,40
837,837,Abde Ezzalzouli (Betis),MAR,FW,Betis,La Liga,21,2001,9.6,45,29,36,45,75,86,45,88,85,38,88,54,46,64,70,90,84,97,77,91,49,81
838,838,Giovanni Fabbian (Bologna),ITA,"MF,FW",Bologna,Serie A,20,2003,11.7,41,33,42,47,57,81,41,68,70,54,68,54,38,41,38,46,49,68,67,68,43,63
839,839,Łukasz Fabiański (West Ham),POL,GK,West Ham,Premier League,38,1985,8,32,92,69,10,0,0,32,0,0,0,0,0,31,33,42,0,0,0,0,0,24,0
840,840,Nicolò Fagioli (Juventus),ITA,MF,Juventus,Serie A,22,2001,4.9,32,19,30,40,45,29,32,40,37,39,33,20,34,31,31,40,39,36,44,40,34,44
841,841,Romain Faivre (Bournemouth),FRA,"MF,FW",Bournemouth,Premier League,25,1998,0.5,12,10,7,16,24,24,12,40,30,14,40,46,13,16,19,30,32,0,24,21,13,27
842,842,Romain Faivre (Lorient),FRA,"MF,FW",Lorient,Ligue 1,25,1998,16.1,59,34,50,63,82,77,59,96,97,50,96,55,74,88,81,93,92,85,84,76,66,77
843,843,Ilhan Fakili (Clermont Foot),FRA,"MF,FW",Clermont Foot,Ligue 1,17,2006,1,13,0,7,18,26,27,13,37,21,7,50,95,14,15,14,23,18,49,31,28,14,34
844,844,Radamel Falcao (Rayo Vallecano),COL,"FW,DF",Rayo Vallecano,La Liga,37,1986,4.5,26,21,17,29,47,62,26,42,37,27,45,61,26,24,22,37,32,68,51,66,28,51
845,845,Wladimiro Falcone (Lecce),ITA,GK,Lecce,Serie A,28,1995,38,77,99,98,8,0,0,77,0,0,0,0,0,77,79,87,0,18,36,13,0,64,0
846,846,Fali (Cádiz),ESP,DF,Cádiz,La Liga,29,1993,28.3,80,91,89,81,36,54,80,34,37,77,23,12,73,71,79,56,44,0,34,28,72,38
847,847,Davide Faraoni (Hellas Verona),ITA,DF,Hellas Verona,Serie A,31,1991,6.7,39,47,45,45,49,45,39,40,37,39,45,80,36,31,34,50,44,36,53,28,36,57
848,848,Davide Faraoni (Fiorentina),ITA,DF,Fiorentina,Serie A,31,1991,4.4,34,41,40,41,43,27,34,31,21,10,40,93,33,33,35,37,18,36,28,28,33,45
849,849,Ansu Fati (Brighton),ESP,"MF,FW",Brighton,Premier League,20,2002,5.8,35,21,25,39,55,79,35,60,47,13,63,61,38,37,36,56,36,81,56,60,38,67
850,850,Ansu Fati (Barcelona),ESP,"MF,FW",Barcelona,La Liga,20,2002,0.6,12,0,3,17,26,29,12,27,21,18,23,25,14,18,21,34,32,49,13,21,14,30
851,851,Khalil Fayad (Montpellier),FRA,"FW,MF",Montpellier,Ligue 1,19,2004,11.4,43,37,46,50,56,63,43,67,64,42,68,58,49,52,50,60,58,64,56,70,44,66
852,852,Federico Fazio (Salernitana),ARG,DF,Salernitana,Serie A,36,1987,15.1,58,86,79,61,27,53,58,23,30,93,0,0,48,45,49,23,0,0,39,35,49,21
853,853,Jacopo Fazzini (Empoli),ITA,MF,Empoli,Serie A,20,2003,13.7,55,51,57,59,72,75,55,83,84,53,80,44,52,54,53,68,67,76,80,83,50,68
854,854,Peter Federico (Valencia),DOM,"MF,FW",Valencia,La Liga,21,2002,7.2,33,29,30,33,56,69,33,73,73,45,75,60,31,33,34,61,44,81,72,52,31,67
855,855,Nabil Fekir (Betis),FRA,"MF,FW",Betis,La Liga,30,1993,11.7,57,21,33,63,83,84,57,78,85,80,54,12,59,57,58,76,79,76,88,85,65,77
856,856,Felipe (Nott'ham Forest),BRA,DF,Nott'ham Forest,Premier League,34,1989,4.2,32,49,53,36,19,27,32,23,21,54,23,61,32,29,32,17,18,0,24,21,31,0
857,857,Luiz Felipe (Betis),ITA,DF,Betis,La Liga,26,1997,4,28,60,53,31,15,24,28,0,0,0,0,0,27,25,21,0,0,0,13,0,28,0
858,858,João Félix (Barcelona),POR,FW,Barcelona,La Liga,23,1999,17.1,64,41,45,62,91,95,64,96,92,18,98,82,71,75,77,94,94,96,88,92,77,95
859,859,Ohis Felix Uduokhai (Augsburg),GER,DF,Augsburg,Bundesliga,25,1997,32.5,95,95,96,92,49,83,95,40,51,92,23,10,92,88,88,69,51,36,60,52,92,32
860,860,Kiko Femenía (Villarreal),ESP,DF,Villarreal,La Liga,32,1991,17.6,78,72,82,80,70,39,79,49,51,69,50,53,72,76,80,85,78,36,62,45,75,65
861,861,Evan Ferguson (Brighton),IRL,FW,Brighton,Premier League,18,2004,15.2,42,39,38,46,63,80,42,57,55,42,54,35,45,41,35,50,47,68,86,91,46,72
862,862,Lewis Ferguson (Bologna),SCO,MF,Bologna,Serie A,23,1999,30.1,95,69,74,97,95,92,95,78,75,35,77,50,95,92,87,90,91,87,67,83,98,91
863,863,Bruno Fernandes (Manchester Utd),POR,"MF,FW",Manchester Utd,Premier League,28,1994,34.6,99,81,80,96,100,95,99,85,83,41,86,58,97,93,94,96,96,94,90,93,98,96
864,864,Edimilson Fernandes (Mainz 05),SUI,DF,Mainz 05,Bundesliga,27,1996,14.3,66,82,79,67,56,27,66,42,51,89,33,16,61,62,68,42,54,36,34,45,62,37
865,865,Aitor Fernández (Osasuna),ESP,GK,Osasuna,La Liga,32,1991,6.1,29,88,64,14,9,16,29,0,0,0,0,0,28,28,35,0,0,0,0,0,24,0
866,866,Álex Fernández (Cádiz),ESP,MF,Cádiz,La Liga,30,1992,14.3,58,68,64,66,60,36,58,40,43,73,33,20,53,48,48,46,68,36,42,66,56,53
867,867,Carlos Fernández (Real Sociedad),ESP,FW,Real Sociedad,La Liga,27,1996,4.5,24,27,19,31,35,49,24,46,37,15,57,92,21,20,17,32,29,0,51,70,23,42
868,868,Enzo Fernández (Chelsea),ARG,MF,Chelsea,Premier League,22,2001,24.5,96,74,82,98,91,81,96,85,87,66,80,38,96,93,93,88,91,79,77,86,98,69
869,869,Raúl Fernández (Granada),ESP,GK,Granada,La Liga,35,1988,3.1,21,80,50,0,0,0,21,0,0,0,0,0,20,21,24,0,0,0,0,0,17,0
870,870,Valery Fernández (Girona),ESP,"MF,FW",Girona,La Liga,23,1999,5.6,33,37,37,35,53,62,33,62,55,26,54,24,35,41,42,62,49,76,56,55,35,69
871,871,Fernando (Almería),ESP,GK,Almería,La Liga,33,1990,4,26,86,58,5,0,0,26,0,0,0,0,0,25,26,31,0,0,0,0,0,22,0
872,872,Fernando (Sevilla),BRA,MF,Sevilla,La Liga,36,1987,5.1,34,34,40,43,35,29,34,37,43,83,23,11,34,34,35,32,44,36,31,35,34,34
873,873,Ichem Ferrah (Lille),FRA,FW,Lille,Ligue 1,17,2005,0,2,0,0,5,9,0,2,0,0,0,0,0,2,3,0,0,0,0,13,0,2,21
874,874,Andrea Ferraris (Monza),ITA,MF,Monza,Serie A,20,2003,0.1,3,0,3,5,12,0,3,0,0,0,0,0,3,4,5,0,0,0,0,0,3,0
875,875,André Ferreira (Granada),POR,GK,Granada,La Liga,27,1996,14.9,46,96,86,3,0,0,46,0,0,0,0,0,43,44,50,0,0,0,20,21,35,0
876,876,João Ferreira (Udinese),POR,DF,Udinese,Serie A,22,2001,20.2,73,85,84,71,57,43,73,77,82,69,71,33,64,64,68,61,70,64,67,55,62,65
877,877,Jordan Ferri (Montpellier),FRA,MF,Montpellier,Ligue 1,31,1992,22.6,86,68,76,91,80,54,86,80,80,50,83,74,95,94,91,80,90,68,89,92,91,74
878,878,Nacho Ferri (Eint Frankfurt),ESP,"FW,MF",Eint Frankfurt,Bundesliga,18,2004,0.8,13,15,10,19,24,32,13,16,0,0,23,95,12,11,8,0,0,0,34,28,14,35
879,879,Rachad Fettal (Almería),MAR,FW,Almería,La Liga,18,2005,0.2,5,0,3,11,12,16,5,0,0,0,0,0,4,2,3,0,0,0,13,0,5,21
880,880,Seydou Fini (Genoa),ITA,"DF,FW",Genoa,Serie A,17,2006,0.4,9,0,3,11,21,16,9,16,0,0,23,95,9,9,8,17,24,0,13,21,9,21
881,881,Max Finkgräfe (Köln),GER,"DF,FW",Köln,Bundesliga,19,2004,19.5,73,69,75,74,78,63,73,90,95,80,86,33,63,73,75,88,85,85,84,86,61,71
882,882,Vincenzo Fiorillo (Salernitana),ITA,GK,Salernitana,Serie A,33,1990,4,24,86,54,5,0,0,24,0,0,0,0,0,19,19,23,0,0,0,0,0,15,0
883,883,Kilian Fischer (Wolfsburg),GER,"DF,MF",Wolfsburg,Bundesliga,22,2000,3.2,27,33,37,30,37,36,27,23,21,54,23,61,22,23,23,34,29,36,31,21,24,37
884,884,John Fleck (Sheffield Utd),SCO,"MF,DF",Sheffield Utd,Premier League,31,1991,1,14,19,15,21,20,16,14,16,0,0,0,0,11,10,11,23,18,0,20,0,13,0
885,885,Mark Flekken (Brentford),NED,GK,Brentford,Premier League,30,1993,36.5,89,100,100,31,0,0,89,31,37,89,23,16,88,88,91,0,0,0,0,0,79,0
886,886,Alessandro Florenzi (Milan),ITA,DF,Milan,Serie A,32,1991,19.2,84,72,79,85,83,56,84,52,21,7,68,95,83,79,82,73,79,36,60,45,83,67
887,887,Phil Foden (Manchester City),ENG,"FW,MF",Manchester City,Premier League,23,2000,31.7,96,49,59,88,100,99,96,97,97,48,97,53,97,95,94,97,99,99,96,98,98,99
888,888,Wes Foderingham (Sheffield Utd),ENG,GK,Sheffield Utd,Premier League,32,1991,29.4,74,98,97,18,0,0,74,23,30,93,0,0,68,73,82,0,0,0,13,21,50,0
889,889,Malick Fofana (Lyon),BEL,FW,Lyon,Ligue 1,18,2005,6.2,31,29,29,32,55,59,31,56,58,67,57,56,38,46,50,70,65,83,58,63,35,71
890,890,Youssouf Fofana (Monaco),FRA,MF,Monaco,Ligue 1,24,1999,30,96,74,77,98,90,82,96,93,95,75,90,38,99,99,98,89,99,79,90,92,96,80
891,891,Jonas Föhrenbach (Heidenheim),GER,DF,Heidenheim,Bundesliga,27,1996,31,90,84,89,86,83,59,90,71,58,15,78,83,81,79,86,84,82,49,67,63,81,74
892,892,Thomas Foket (Reims),BEL,DF,Reims,Ligue 1,28,1994,20.4,77,77,78,78,79,56,77,51,55,75,50,44,81,80,76,68,74,36,74,60,74,79
893,893,Michael Folorunsho (Hellas Verona),ITA,"MF,FW",Hellas Verona,Serie A,25,1998,30.9,76,73,67,80,86,85,76,93,87,17,96,84,74,78,73,90,89,79,96,95,74,86
894,894,Tiago Fonseca Morais (Lille),POR,FW,Lille,Ligue 1,19,2003,0.5,10,0,6,16,18,21,10,27,0,0,40,95,11,11,12,27,0,36,13,0,9,21
895,895,Pablo Fornals (West Ham),ESP,"MF,FW",West Ham,Premier League,27,1996,4.7,33,29,34,38,48,58,33,51,51,54,50,44,33,29,27,30,42,49,39,55,33,54
896,896,Pablo Fornals (Betis),ESP,"FW,MF",Betis,La Liga,27,1996,12.8,60,34,47,68,77,77,60,70,67,38,75,75,56,54,59,80,73,87,72,68,64,79
897,897,Emil Forsberg (RB Leipzig),SWE,"MF,FW",RB Leipzig,Bundesliga,31,1991,5.2,32,29,24,38,50,56,32,44,37,18,45,50,34,32,29,40,29,64,49,52,35,61
898,898,Omari Forson (Manchester Utd),ENG,FW,Manchester Utd,Premier League,19,2004,0.8,12,0,6,20,21,16,12,23,21,54,23,61,14,12,10,17,29,0,13,0,13,21
899,899,Philipp Förster (Bochum),GER,"MF,FW",Bochum,Bundesliga,28,1995,4.3,31,15,23,36,51,39,31,31,21,10,23,16,29,29,28,37,49,36,42,52,30,48
900,900,Héctor Fort (Barcelona),ESP,DF,Barcelona,La Liga,16,2006,3.5,31,34,40,36,39,24,31,40,37,39,45,80,31,27,24,27,29,0,13,28,33,61
901,901,Lyle Foster (Burnley),RSA,"FW,MF",Burnley,Premier League,22,2000,21.1,54,63,45,55,80,94,54,82,83,53,82,55,53,60,62,89,81,97,97,92,58,85
902,902,Dimitri Foulquier (Valencia),FRA,"DF,MF",Valencia,La Liga,30,1993,20.5,78,66,81,77,77,54,78,86,87,53,78,32,68,69,72,83,82,73,82,75,70,72
903,903,Juan Foyth (Villarreal),ARG,DF,Villarreal,La Liga,25,1998,11.8,60,75,70,65,61,52,60,71,84,89,54,15,57,57,60,61,79,58,60,52,59,55
904,904,Matheus França (Crystal Palace),BRA,"MF,FW",Crystal Palace,Premier League,19,2004,2.6,22,19,27,25,36,39,22,54,43,14,63,88,24,30,33,48,51,68,28,52,21,40
905,905,Bartol Franjić (Darmstadt 98),CRO,MF,Darmstadt 98,Bundesliga,23,2000,13.7,54,64,64,67,42,34,54,52,55,68,54,55,48,49,50,50,44,36,51,55,52,43
906,906,Przemysław Frankowski (Lens),POL,DF,Lens,Ligue 1,28,1995,24.4,88,67,73,82,97,84,88,74,70,32,82,84,91,91,85,90,89,73,83,73,86,98
907,907,Nathan Fraser (Wolves),IRL,FW,Wolves,Premier League,18,2005,2.1,16,21,15,21,26,29,16,0,0,0,0,0,14,11,8,17,18,36,28,28,15,49
908,908,Davide Frattesi (Inter),ITA,MF,Inter,Serie A,23,1999,10.6,41,54,46,45,56,84,41,64,55,18,73,86,42,48,48,71,64,83,60,75,43,62
909,909,Jean Frederic N'Guessan (Metz),CIV,"MF,FW",Metz,Ligue 1,20,2003,1.2,15,10,9,25,22,16,15,31,37,89,0,0,17,17,16,17,24,0,13,28,15,21
910,910,Morten Frendrup (Genoa),DEN,MF,Genoa,Serie A,22,2001,34.9,89,75,80,92,83,75,89,69,78,82,60,24,80,76,71,79,68,64,93,70,82,74
911,911,Remo Freuler (Bologna),SUI,MF,Bologna,Serie A,31,1992,29.2,97,78,85,98,84,72,97,51,58,83,40,16,94,90,87,80,79,68,74,75,97,67
912,912,Marco Friedl (Werder Bremen),AUT,DF,Werder Bremen,Bundesliga,25,1998,24.4,82,93,93,76,30,27,82,37,47,92,23,11,79,75,75,30,39,0,51,45,78,21
913,913,Marvin Friedrich (Gladbach),GER,DF,Gladbach,Bundesliga,27,1995,17.4,72,88,90,64,35,53,72,27,30,83,23,25,74,64,62,23,42,36,44,21,74,27
914,914,Jeremie Frimpong (Leverkusen),NED,DF,Leverkusen,Bundesliga,22,2000,25,81,46,57,66,98,100,81,97,97,46,97,53,83,93,96,100,96,100,91,94,84,100
915,915,Jorge de Frutos (Rayo Vallecano),ESP,"FW,MF",Rayo Vallecano,La Liga,26,1997,17.2,53,43,46,52,82,82,53,87,76,16,89,71,53,60,65,83,80,86,81,73,55,92
916,916,Chris Führich (Stuttgart),GER,"FW,MF",Stuttgart,Bundesliga,25,1998,28.5,89,31,50,81,100,97,89,99,99,51,100,50,92,98,98,100,100,99,92,88,93,99
917,917,Shiō Fukuda (Gladbach),JPN,"FW,MF",Gladbach,Bundesliga,19,2004,0.4,8,0,6,8,19,29,8,16,21,93,0,0,7,7,4,0,0,0,13,35,7,21
918,918,Angelo Fulgini (Lens),FRA,MF,Lens,Ligue 1,26,1996,15.3,68,46,46,69,90,82,68,84,82,39,87,73,76,75,66,79,89,76,81,94,71,87
919,919,Niclas Füllkrug (Werder Bremen),GER,FW,Werder Bremen,Bundesliga,30,1993,2,18,15,12,25,30,29,18,16,0,0,23,95,17,14,14,23,18,0,28,21,21,40
920,920,Niclas Füllkrug (Dortmund),GER,FW,Dortmund,Bundesliga,30,1993,24.6,59,57,40,62,84,95,58,63,47,10,66,61,55,45,40,58,62,85,91,85,68,88
921,921,Gerardo Fusco (Salernitana),ITA,FW,Salernitana,Serie A,18,2005,0.2,5,0,0,11,14,16,5,16,0,0,23,95,3,4,0,0,0,0,0,0,6,15
922,922,Daniel Fuzato (Getafe),BRA,GK,Getafe,La Liga,26,1997,0.1,6,34,16,0,0,0,6,0,0,0,0,0,4,5,8,0,0,0,0,0,4,0
923,923,Matteo Gabbia (Milan),ITA,DF,Milan,Serie A,23,1999,14.2,70,84,85,72,32,59,70,23,30,93,0,0,71,68,71,46,32,0,31,28,74,21
924,924,Matteo Gabbia (Villarreal),ITA,DF,Villarreal,La Liga,23,1999,5.3,38,70,63,42,19,21,38,0,0,0,0,0,38,35,40,17,18,0,28,0,39,0
925,925,Gianluca Gaetano (Cagliari),ITA,"FW,MF",Cagliari,Serie A,23,2000,8.3,36,24,23,42,58,56,36,74,64,18,75,56,35,38,37,58,58,73,60,73,36,63
926,926,Gianluca Gaetano (Napoli),ITA,MF,Napoli,Serie A,23,2000,1.8,22,21,17,29,33,29,22,34,21,8,45,94,20,19,21,34,18,36,31,35,22,30
927,927,Roberto Gagliardini (Monza),ITA,"MF,DF",Monza,Serie A,29,1994,26.2,91,81,82,95,79,79,91,58,58,50,57,43,91,92,91,81,86,49,76,70,93,60
928,928,Cody Gakpo (Liverpool),NED,"FW,MF",Liverpool,Premier League,24,1999,18.3,59,41,42,60,88,95,60,89,93,74,80,24,66,67,68,84,81,87,88,92,68,89
929,929,Javi Galán (Atlético Madrid),ESP,DF,Atlético Madrid,La Liga,28,1994,1,17,0,19,18,33,24,17,31,30,54,0,0,19,19,21,27,18,0,31,35,17,42
930,930,Javi Galán (Real Sociedad),ESP,DF,Real Sociedad,La Liga,28,1994,11.9,59,45,61,64,73,47,60,85,82,35,83,48,57,62,70,85,64,68,58,63,57,74
931,931,Iñigo Ruiz de Galarreta (Athletic Club),ESP,MF,Athletic Club,La Liga,29,1993,23.2,83,56,62,91,83,34,83,77,87,83,60,16,81,76,71,70,80,36,71,90,84,60
932,932,Pablo Galdames Millán (Genoa),CHI,"MF,DF",Genoa,Serie A,26,1996,0.1,10,0,3,18,16,16,10,0,0,0,0,0,8,8,9,0,0,0,13,0,10,15
933,933,Conor Gallagher (Chelsea),ENG,MF,Chelsea,Premier League,23,2000,34.8,98,77,83,98,98,91,98,92,95,76,82,20,97,96,92,92,94,88,97,95,98,88
934,934,Antonino Gallo (Lecce),ITA,DF,Lecce,Serie A,23,2000,27.7,89,79,87,85,86,60,89,84,83,45,85,58,82,86,90,94,94,86,74,68,81,84
935,935,Cristian Gamboa (Bochum),CRC,DF,Bochum,Bundesliga,33,1989,13.2,49,62,62,57,52,16,50,51,47,36,45,25,44,40,39,48,51,0,47,35,42,45
936,936,Kévin Gameiro (Strasbourg),FRA,"FW,MF",Strasbourg,Ligue 1,36,1987,15,48,24,34,54,73,81,48,52,55,68,50,37,59,60,52,70,76,83,72,73,53,78
937,937,Idrissa Gana Gueye (Everton),SEN,MF,Everton,Premier League,33,1989,20.9,74,71,71,80,73,59,74,69,67,43,68,49,69,67,66,73,77,49,60,81,71,63
938,938,Ignatius Ganago (Nantes),CMR,"FW,MF",Nantes,Ligue 1,24,1999,2,17,10,9,20,36,41,17,16,0,0,23,95,21,24,18,37,24,58,28,35,20,53
939,939,Aleix García (Girona),ESP,MF,Girona,La Liga,26,1997,35.5,100,87,92,100,97,54,100,68,76,80,54,16,100,99,98,91,90,58,73,73,100,68
940,940,Álvaro García (Rayo Vallecano),ESP,"FW,MF",Rayo Vallecano,La Liga,30,1992,27.5,72,58,62,62,95,94,72,69,64,32,75,79,66,64,61,90,70,93,93,63,72,99
941,941,Dani García (Athletic Club),ESP,MF,Athletic Club,La Liga,33,1990,8.3,40,48,43,52,40,34,40,27,37,93,0,0,34,30,29,27,39,0,28,28,38,27
942,942,David García (Osasuna),ESP,DF,Osasuna,La Liga,29,1994,25.9,88,89,90,90,40,63,88,31,37,89,23,16,81,81,88,63,54,0,42,28,83,27
943,943,Eric García (Barcelona),ESP,DF,Barcelona,La Liga,22,2001,0.6,14,15,20,22,12,16,14,0,0,0,0,0,15,15,19,0,0,0,0,0,15,0
944,944,Eric García (Girona),ESP,DF,Girona,La Liga,22,2001,29.3,99,90,95,98,69,62,99,44,43,43,45,50,98,97,98,85,84,36,60,58,99,47
945,945,Fran Garcia (Real Madrid),ESP,DF,Real Madrid,La Liga,23,1999,15.5,74,62,73,71,86,62,74,60,58,43,63,61,76,75,78,89,81,64,67,55,75,91
946,946,Francisco Jesús Crespo García (Las Palmas),ESP,FW,Las Palmas,La Liga,27,1996,5.6,36,19,26,37,61,50,36,78,76,43,82,74,38,42,39,58,60,64,60,68,39,73
947,947,Gonzalo García (Real Madrid),ESP,"FW,MF",Real Madrid,La Liga,19,2004,0.2,6,0,6,8,16,16,6,16,0,0,23,95,7,9,8,17,18,36,0,0,6,25
948,948,Jastin García (Girona),ESP,FW,Girona,La Liga,19,2004,0.4,9,0,3,11,20,21,9,23,21,54,23,61,9,10,12,23,0,36,24,0,10,35
949,949,Raúl García (Athletic Club),ESP,"FW,MF",Athletic Club,La Liga,37,1986,4.7,28,34,25,34,44,60,28,34,30,32,40,84,25,23,19,30,42,49,42,45,30,44
950,950,Rubén García (Osasuna),ESP,"FW,MF",Osasuna,La Liga,30,1993,17.2,66,46,52,63,90,77,66,75,82,75,63,21,60,54,46,56,77,64,79,85,69,87
951,951,Ulisses Garcia (Marseille),SUI,DF,Marseille,Ligue 1,27,1996,10.1,52,48,54,57,68,36,52,60,64,71,54,25,57,58,59,63,65,49,42,70,51,73
952,952,Unai García (Osasuna),ESP,DF,Osasuna,La Liga,31,1992,6.2,32,53,51,37,23,34,32,16,0,0,23,95,26,22,23,23,24,0,24,35,29,15
953,953,Alejandro Garnacho (Manchester Utd),ARG,FW,Manchester Utd,Premier League,19,2004,28.5,80,39,60,66,98,100,80,99,97,25,99,59,88,98,98,100,99,100,97,98,86,99
954,954,James Garner (Everton),ENG,MF,Everton,Premier League,22,2001,33.4,88,79,73,88,94,78,88,83,83,48,78,38,79,77,72,79,86,68,81,60,81,77
955,955,Luca Garritano (Frosinone),ITA,"MF,DF",Frosinone,Serie A,29,1994,5.4,33,39,41,36,47,45,33,34,0,0,50,95,31,31,30,34,24,36,39,28,32,51
956,956,Johan Gastien (Clermont Foot),FRA,MF,Clermont Foot,Ligue 1,35,1988,25.1,93,75,83,97,74,39,93,69,58,18,75,79,98,95,90,63,78,0,77,58,95,49
957,957,Federico Gatti (Juventus),ITA,DF,Juventus,Serie A,25,1998,29.3,89,85,84,93,65,81,89,65,62,35,66,53,89,89,93,88,81,36,71,66,90,64
